step=0 {'loss': 3.082078695297241, 'L_flow': 2.8662843704223633, 'L_var': 0.4315885901451111, 'L_cov': 1.6447288990020752, 'L_slot': 0.03758491203188896, 'grad_norm': 1.5843576192855835, 'grad_skipped': 0.0, 'ema_m': 0.996, 'lr_mult': 0.0006666666666666666, 'c_std_mean': 0.4952510595321655, 'c_std_median': 0.4845834970474243, 'c_dead_dim_frac': 0.0, 'c_cross_video_cosine': 0.7238704562187195, 'c_effective_rank': 9.472790718078613, 'c_slot_diversity_rank': 16.711070120334625, 'coarse_model_loss': 3.3105926513671875, 'coarse_copy_loss': 0.0533393919467926, 'coarse_batch_mean_loss': 0.26272302865982056, 'coarse_vs_copy_ratio': 62.06656265258789, 'coarse_vs_batch_mean_ratio': 12.601075172424316, 'grad_global_norm': 0.4999996988555838, 'grad_has_nan': 0.0, 'grad_param_count': 100.0, 'c_attn_entropy': 0.9999483823776245, 'c_attn_entropy_min': 0.9998237490653992}
step=2300 {'loss': 0.5242175459861755, 'L_flow': 0.5165291428565979, 'L_var': 0.015376826748251915, 'L_cov': 35.21864318847656, 'L_slot': 0.033563192933797836, 'grad_norm': 3.2445671558380127, 'grad_skipped': 0.0, 'ema_m': 0.9960046154073828, 'lr_mult': 0.9913603233532067}
step=2350 {'loss': 0.5961179137229919, 'L_flow': 0.5867533683776855, 'L_var': 0.018729116767644882, 'L_cov': 33.303470611572266, 'L_slot': 0.034198738634586334, 'grad_norm': 3.3204610347747803, 'grad_skipped': 0.0, 'ema_m': 0.996004818174887, 'lr_mult': 0.9902502478779897}
step=2400 {'loss': 0.5222421884536743, 'L_flow': 0.5154250860214233, 'L_var': 0.013634154573082924, 'L_cov': 40.925357818603516, 'L_slot': 0.0328175388276577, 'grad_norm': 3.140352725982666, 'grad_skipped': 0.0, 'ema_m': 0.996005025295718, 'lr_mult': 0.9890738003669028}
step=2450 {'loss': 0.5032877922058105, 'L_flow': 0.4970541298389435, 'L_var': 0.012467321008443832, 'L_cov': 36.504974365234375, 'L_slot': 0.03188589587807655, 'grad_norm': 2.4745595455169678, 'grad_skipped': 0.0, 'ema_m': 0.9960052367694123, 'lr_mult': 0.9878311400921072}
step=2500 {'loss': 0.5221441984176636, 'L_flow': 0.5152105093002319, 'L_var': 0.013867388479411602, 'L_cov': 37.021575927734375, 'L_slot': 0.0319814458489418, 'grad_norm': 2.9151711463928223, 'grad_skipped': 0.0, 'ema_m': 0.9960054525954967, 'lr_mult': 0.9865224352899119, 'c_std_mean': 0.9178467988967896, 'c_std_median': 0.9176762700080872, 'c_dead_dim_frac': 0.0, 'c_cross_video_cosine': 0.21262243390083313, 'c_effective_rank': 7.021456241607666, 'c_slot_diversity_rank': 18.206717431545258, 'coarse_model_loss': 0.425168514251709, 'coarse_copy_loss': 0.21971671283245087, 'coarse_batch_mean_loss': 0.866266131401062, 'coarse_vs_copy_ratio': 1.9350758790969849, 'coarse_vs_batch_mean_ratio': 0.49080589413642883, 'grad_global_norm': 0.49999987254899353, 'grad_has_nan': 0.0, 'grad_param_count': 100.0, 'c_attn_entropy': 0.985480546951294, 'c_attn_entropy_min': 0.9719346761703491}
step=2550 {'loss': 0.4833967983722687, 'L_flow': 0.4752447009086609, 'L_var': 0.016304191201925278, 'L_cov': 37.40790939331055, 'L_slot': 0.03125603497028351, 'grad_norm': 3.0720298290252686, 'grad_skipped': 0.0, 'ema_m': 0.9960056727734882, 'lr_mult': 0.9851478631379982}
step=2600 {'loss': 0.5125458240509033, 'L_flow': 0.5055618286132812, 'L_var': 0.01396803930401802, 'L_cov': 34.25315856933594, 'L_slot': 0.029489269480109215, 'grad_norm': 3.1439247131347656, 'grad_skipped': 0.0, 'ema_m': 0.9960058973028938, 'lr_mult': 0.9837076097314319}
step=2650 {'loss': 0.4381391108036041, 'L_flow': 0.4288322627544403, 'L_var': 0.018613677471876144, 'L_cov': 46.3259391784668, 'L_slot': 0.03257976099848747, 'grad_norm': 2.7996633052825928, 'grad_skipped': 0.0, 'ema_m': 0.9960061261832114, 'lr_mult': 0.9822018700574695}
step=2700 {'loss': 0.4691821336746216, 'L_flow': 0.46354103088378906, 'L_var': 0.0112821776419878, 'L_cov': 37.23202896118164, 'L_slot': 0.03173449635505676, 'grad_norm': 3.137848138809204, 'grad_skipped': 0.0, 'ema_m': 0.9960063594139283, 'lr_mult': 0.9806308479691594}
step=2750 {'loss': 0.42773938179016113, 'L_flow': 0.4206552505493164, 'L_var': 0.014168277382850647, 'L_cov': 40.87513732910156, 'L_slot': 0.02874584309756756, 'grad_norm': 2.0992908477783203, 'grad_skipped': 0.0, 'ema_m': 0.996006596994523, 'lr_mult': 0.9789947561577445}
step=2800 {'loss': 0.4524039328098297, 'L_flow': 0.4464520215988159, 'L_var': 0.01190384104847908, 'L_cov': 34.568389892578125, 'L_slot': 0.02690780535340309, 'grad_norm': 2.508535623550415, 'grad_skipped': 0.0, 'ema_m': 0.9960068389244635, 'lr_mult': 0.977293816123866}
step=2850 {'loss': 0.44359642267227173, 'L_flow': 0.4366598129272461, 'L_var': 0.013873204588890076, 'L_cov': 32.602359771728516, 'L_slot': 0.030225714668631554, 'grad_norm': 2.7536070346832275, 'grad_skipped': 0.0, 'ema_m': 0.9960070852032084, 'lr_mult': 0.9755282581475768}
step=2900 {'loss': 0.41073673963546753, 'L_flow': 0.40285560488700867, 'L_var': 0.015762250870466232, 'L_cov': 27.46453094482422, 'L_slot': 0.029613686725497246, 'grad_norm': 2.7665328979492188, 'grad_skipped': 0.0, 'ema_m': 0.9960073358302065, 'lr_mult': 0.9736983212571646}
step=2950 {'loss': 0.41683438420295715, 'L_flow': 0.4104107618331909, 'L_var': 0.012847259640693665, 'L_cov': 30.85281753540039, 'L_slot': 0.029275432229042053, 'grad_norm': 2.9026119709014893, 'grad_skipped': 0.0, 'ema_m': 0.9960075908048971, 'lr_mult': 0.9718042531967918}
step=3000 {'loss': 0.41561898589134216, 'L_flow': 0.41010743379592896, 'L_var': 0.011023124679923058, 'L_cov': 33.62064743041992, 'L_slot': 0.0301530659198761, 'grad_norm': 2.7130908966064453, 'grad_skipped': 0.0, 'ema_m': 0.9960078501267092, 'lr_mult': 0.9698463103929542, 'c_std_mean': 0.9298365116119385, 'c_std_median': 0.9203547239303589, 'c_dead_dim_frac': 0.0, 'c_cross_video_cosine': 0.21713684499263763, 'c_effective_rank': 7.653919219970703, 'c_slot_diversity_rank': 18.3281888961792, 'coarse_model_loss': 0.3673646152019501, 'coarse_copy_loss': 0.22810307145118713, 'coarse_batch_mean_loss': 0.9026559591293335, 'coarse_vs_copy_ratio': 1.6105202436447144, 'coarse_vs_batch_mean_ratio': 0.406981885433197, 'grad_global_norm': 0.4999998077882942, 'grad_has_nan': 0.0, 'grad_param_count': 100.0, 'c_attn_entropy': 0.9744062423706055, 'c_attn_entropy_min': 0.9493553042411804}
step=3050 {'loss': 0.3681941032409668, 'L_flow': 0.36119788885116577, 'L_var': 0.013992458581924438, 'L_cov': 30.524898529052734, 'L_slot': 0.028162797912955284, 'grad_norm': 2.7730581760406494, 'grad_skipped': 0.0, 'ema_m': 0.9960081137950628, 'lr_mult': 0.9678247579197657}
step=3100 {'loss': 0.44119954109191895, 'L_flow': 0.43120330572128296, 'L_var': 0.019992487505078316, 'L_cov': 27.203920364379883, 'L_slot': 0.028941791504621506, 'grad_norm': 3.2025814056396484, 'grad_skipped': 0.0, 'ema_m': 0.9960083818093677, 'lr_mult': 0.9657398694630712}
step=3150 {'loss': 0.4060002863407135, 'L_flow': 0.4002721309661865, 'L_var': 0.011456333100795746, 'L_cov': 32.2726936340332, 'L_slot': 0.02657589130103588, 'grad_norm': 2.8969736099243164, 'grad_skipped': 0.0, 'ema_m': 0.996008654169024, 'lr_mult': 0.9635919272833937}
step=3200 {'loss': 0.3505626618862152, 'L_flow': 0.3445233106613159, 'L_var': 0.012078694999217987, 'L_cov': 37.521705627441406, 'L_slot': 0.02747884765267372, 'grad_norm': 2.1793441772460938, 'grad_skipped': 0.0, 'ema_m': 0.9960089308734221, 'lr_mult': 0.9613812221777212}
step=3250 {'loss': 0.3567385673522949, 'L_flow': 0.3481072187423706, 'L_var': 0.01726270280778408, 'L_cov': 27.801959991455078, 'L_slot': 0.03134472668170929, 'grad_norm': 2.341092824935913, 'grad_skipped': 0.0, 'ema_m': 0.996009211921943, 'lr_mult': 0.959108053440137}
step=3300 {'loss': 0.37988871335983276, 'L_flow': 0.3752098083496094, 'L_var': 0.009357818402349949, 'L_cov': 26.95058822631836, 'L_slot': 0.03017151728272438, 'grad_norm': 2.8121087551116943, 'grad_skipped': 0.0, 'ema_m': 0.9960094973139575, 'lr_mult': 0.9567727288213004}
